ECID,Description,Min Value,Max Value,Default,Unit,Result
16777232, EstablishCommunicationTimeout,0,65535,45, s,Pass
16777248, InitCommState, 0x00, 0x01, 0x00,[ no unit ] ,Pass
16777264, PollDelay,0,65535,45, s,Pass
16777280, InitControlState, 0x00, 0x01, 0x00,[ no unit ] ,Pass
16777296, InitControlOfflineSubState, 0x00, 0x01, 0x00,[ no unit ] ,Pass
16777312, ControlOnlineFailedState, 0x00, 0x01, 0x00,[ no unit ] ,Pass
16777328, InitControlOnlineSubState, 0x00, 0x01, 0x00,[ no unit ] ,Pass
16842768, LimitsDelay,1,60,1, s,Pass
16973840, EnableSpooling, 0x00, 0x01, 0x00,[ no unit ] ,Pass
16973872, MaxSpoolTransmit,0,1000,50,[ no unit ] ,Pass
16973888, OverWriteSpool, 0x00, 0x01, 0x01,[ no unit ] ,Pass
17104912, MDLN,[ blank min ] ,[ blank max ] ,[ blank default ] ,[ no unit ] ,Pass
17104928, SOFTREV,[ blank min ] ,[ blank max ] ,[ blank default ] ,[ no unit ] ,Pass
17104944, TimeFormat,0,1,1,[ no unit ] ,Pass
17104961, PortUsage1,1,3,3,[ no unit ] ,Pass
17104962, PortUsage2,1,3,3,[ no unit ] ,Pass
17104963, PortUsage3,1,3,3,[ no unit ] ,Pass
17104976, ControlModeSetting, 0x00, 0x01, 0x01,[ no unit ] ,Pass
17105168, S6F1WBitEnable, 0x00, 0x01, 0x01,[ no unit ] ,Pass
17105184, S6F11WBitEnable, 0x00, 0x01, 0x01,[ no unit ] ,Pass
17105200, S5F1WBitEnable, 0x00, 0x01, 0x01,[ no unit ] ,Pass
17105409, RC1DepoCount1Name,[ blank min ] ,[ blank max ] ,[ blank default ] ,[ no unit ] ,Pass
17105425, RC1DepoCount2Name,[ blank min ] ,[ blank max ] ,[ blank default ] ,[ no unit ] ,Pass
17105441, RC1DepoCount3Name,[ blank min ] ,[ blank max ] ,[ blank default ] ,[ no unit ] ,Pass
17105457, RC1DepoCount4Name,[ blank min ] ,[ blank max ] ,[ blank default ] ,[ no unit ] ,Pass
17105473, RC1DepoCount5Name,[ blank min ] ,[ blank max ] ,[ blank default ] ,[ no unit ] ,Pass
17105489, RC1DepoCount6Name,[ blank min ] ,[ blank max ] ,[ blank default ] ,[ no unit ] ,Pass
17105505, RC1DepoCount7Name,[ blank min ] ,[ blank max ] ,[ blank default ] ,[ no unit ] ,Pass
17105521, RC1DepoCount8Name,[ blank min ] ,[ blank max ] ,[ blank default ] ,[ no unit ] ,Pass
17105537, RC1DepoCount9Name,[ blank min ] ,[ blank max ] ,[ blank default ] ,[ no unit ] ,Pass
