///////////////////////////////////////////////////////////////
// Scripted by THINH NGUYEN
// File: ECIDsOnlyFromHostLog.txt
// SoftRev: 1.76a5
// Date: Tue Aug 13 17:36:35 2019
//
// This file is to configure all VIDs. WARNING!!!
// DO NOT_EDIT without reading first.
// All comments should follow the format being used and seen.
// The last line should be an empty line.
//
ECID : $376926770 : 16777232 : EstablishCommunicationTimeout : 
ECID : $376926792 : 16777248 : InitCommState : 
ECID : $376926820 : 16777264 : PollDelay : 
ECID : $376926848 : 16777280 : InitControlState : 
ECID : $376926870 : 16777296 : InitControlOfflineSubState : 
ECID : $376926994 : 16777312 : ControlOnlineFailedState : 
ECID : $376927016 : 16777328 : InitControlOnlineSubState : 
ECID : $377759592 : 16842768 : LimitsDelay : 
ECID : $379009088 : 16973840 : EnableSpooling : 
ECID : $379009138 : 16973872 : MaxSpoolTransmit : 
ECID : $379009160 : 16973888 : OverWriteSpool : 
ECID : $386943250 : 17104912 : MDLN : 
ECID : $386943272 : 17104928 : SOFTREV : 
ECID : $386943300 : 17104944 : TimeFormat : 
ECID : $386943329 : 17104961 : PortUsage1 : 
ECID : $386943330 : 17104962 : PortUsage2 : 
ECID : $386943350 : 17104976 : ControlModeSetting : 
ECID : $386945384 : 17105168 : S6F1WBitEnable : 
ECID : $386945412 : 17105184 : S6F11WBitEnable : 
ECID : $386945536 : 17105200 : S5F1WBitEnable : 
ECID : $386946057 : 17105409 : RC1DepoCount1Name : 
ECID : $386946085 : 17105425 : RC1DepoCount2Name : 
ECID : $386946113 : 17105441 : RC1DepoCount3Name : 
ECID : $386946135 : 17105457 : RC1DepoCount4Name : 
ECID : $386946163 : 17105473 : RC1DepoCount5Name : 
ECID : $386946185 : 17105489 : RC1DepoCount6Name : 
ECID : $386946309 : 17105505 : RC1DepoCount7Name : 
ECID : $386946337 : 17105521 : RC1DepoCount8Name : 
ECID : $386946359 : 17105537 : RC1DepoCount9Name : 
ECID : $386946387 : 17105553 : RC1DepoCount10Name : 
ECID : $386946409 : 17105569 : RC1DepoCount11Name : 
ECID : $386946437 : 17105585 : RC1DepoCount12Name : 
ECID : $386946561 : 17105601 : RC1DepoCount13Name : 
ECID : $386946583 : 17105617 : RC1DepoCount14Name : 
ECID : $386946611 : 17105633 : RC1DepoCount15Name : 
ECID : $386946633 : 17105649 : RC1DepoCount16Name : 
ECID : $386946661 : 17105665 : RC1DepoCount17Name : 
ECID : $386946689 : 17105681 : RC1DepoCount18Name : 
ECID : $386946711 : 17105697 : RC1DepoCount19Name : 
ECID : $386946835 : 17105713 : RC1DepoCount20Name : 
ECID : $386946066 : 17105412 : RC4DepoCount1Name : 
ECID : $386946088 : 17105428 : RC4DepoCount2Name : 
ECID : $386946116 : 17105444 : RC4DepoCount3Name : 
ECID : $386946144 : 17105460 : RC4DepoCount4Name : 
ECID : $386946166 : 17105476 : RC4DepoCount5Name : 
ECID : $386946194 : 17105492 : RC4DepoCount6Name : 
ECID : $386946312 : 17105508 : RC4DepoCount7Name : 
ECID : $386946340 : 17105524 : RC4DepoCount8Name : 
ECID : $386946368 : 17105540 : RC4DepoCount9Name : 
ECID : $386946390 : 17105556 : RC4DepoCount10Name : 
ECID : $386946418 : 17105572 : RC4DepoCount11Name : 
ECID : $386946440 : 17105588 : RC4DepoCount12Name : 
ECID : $386946564 : 17105604 : RC4DepoCount13Name : 
ECID : $386946592 : 17105620 : RC4DepoCount14Name : 
ECID : $386946614 : 17105636 : RC4DepoCount15Name : 
ECID : $386946642 : 17105652 : RC4DepoCount16Name : 
ECID : $386946664 : 17105668 : RC4DepoCount17Name : 
ECID : $386946692 : 17105684 : RC4DepoCount18Name : 
ECID : $386946816 : 17105700 : RC4DepoCount19Name : 
ECID : $386946838 : 17105716 : RC4DepoCount20Name : 
ECID : $389027177 : 17301569 : RC1SusceptorUpPositionPulse : 
ECID : $389027186 : 17301572 : RC4SusceptorUpPositionPulse : 
ECID : $389027205 : 17301585 : RC1SusceptorContactPositionPulse : 
ECID : $389027208 : 17301588 : RC4SusceptorContactPositionPulse : 
ECID : $389027329 : 17301601 : RC1SusceptorDownPositionPulse : 
ECID : $389027332 : 17301604 : RC4SusceptorDownPositionPulse : 
