///////////////////////////////////////////////////////////////
// Scripted by THINH NGUYEN
// File: VIDsOnlyFromHostLog.txt
// SoftRev: 1.68c4
// Date: Wed Jun 10 22:07:32 2020
//
// This file is to configure all VIDs. WARNING!!!
// DO NOT_EDIT without reading first.
// All comments should follow the format being used and seen.
// The last line should be an empty line.
//
VID : $01085072 : 17322098 : RC2DepoCount1 : 
VID : $01085073 : 17322099 : RC3DepoCount1 : 
VID : $01085082 : 17322114 : RC2DepoCount2 : 
VID : $01085083 : 17322115 : RC3DepoCount2 : 
VID : $01085092 : 17322130 : RC2DepoCount3 : 
VID : $01085093 : 17322131 : RC3DepoCount3 : 
VID : $010850a2 : 17322146 : RC2DepoCount4 : 
VID : $010850a3 : 17322147 : RC3DepoCount4 : 
VID : $010850b2 : 17322162 : RC2DepoCount5 : 
VID : $010850b3 : 17322163 : RC3DepoCount5 : 
VID : $010850c2 : 17322178 : RC2DepoCount6 : 
VID : $010850c3 : 17322179 : RC3DepoCount6 : 
VID : $010850d2 : 17322194 : RC2DepoCount7 : 
VID : $010850d3 : 17322195 : RC3DepoCount7 : 
VID : $010850e2 : 17322210 : RC2DepoCount8 : 
VID : $010850e3 : 17322211 : RC3DepoCount8 : 
VID : $010850f2 : 17322226 : RC2DepoCount9 : 
VID : $010850f3 : 17322227 : RC3DepoCount9 : 
VID : $01085102 : 17322242 : RC2DepoCount10 : 
VID : $01085103 : 17322243 : RC3DepoCount10 : 
VID : $01085112 : 17322258 : RC2DepoCount11 : 
VID : $01085113 : 17322259 : RC3DepoCount11 : 
VID : $01085122 : 17322274 : RC2DepoCount12 : 
VID : $01085123 : 17322275 : RC3DepoCount12 : 
VID : $01085132 : 17322290 : RC2DepoCount13 : 
VID : $01085133 : 17322291 : RC3DepoCount13 : 
VID : $01085142 : 17322306 : RC2DepoCount14 : 
VID : $01085143 : 17322307 : RC3DepoCount14 : 
VID : $01085152 : 17322322 : RC2DepoCount15 : 
VID : $01085153 : 17322323 : RC3DepoCount15 : 
VID : $01085162 : 17322338 : RC2DepoCount16 : 
VID : $01085163 : 17322339 : RC3DepoCount16 : 
VID : $01085172 : 17322354 : RC2DepoCount17 : 
VID : $01085173 : 17322355 : RC3DepoCount17 : 
VID : $01085182 : 17322370 : RC2DepoCount18 : 
VID : $01085183 : 17322371 : RC3DepoCount18 : 
VID : $01085192 : 17322386 : RC2DepoCount19 : 
VID : $01085193 : 17322387 : RC3DepoCount19 : 
VID : $010851a2 : 17322402 : RC2DepoCount20 : 
VID : $010851a3 : 17322403 : RC3DepoCount20 : 
VID : $01088ce2 : 17337570 : RC2PSSource0UseCountTotal : 
VID : $01088ce3 : 17337571 : RC3PSSource0UseCountTotal : 
VID : $01088cf2 : 17337586 : RC2PSSource1UseCountTotal : 
VID : $01088cf3 : 17337587 : RC3PSSource1UseCountTotal : 
VID : $01088d02 : 17337602 : RC2PSSource2UseCountTotal : 
VID : $01088d03 : 17337603 : RC3PSSource2UseCountTotal : 
VID : $01088d12 : 17337618 : RC2PSSource3UseCountTotal : 
VID : $01088d13 : 17337619 : RC3PSSource3UseCountTotal : 
VID : $01088d22 : 17337634 : RC2PSSource4UseCountTotal : 
VID : $01088d23 : 17337635 : RC3PSSource4UseCountTotal : 
VID : $01088d32 : 17337650 : RC2PSSource5UseCountTotal : 
VID : $01088d33 : 17337651 : RC3PSSource5UseCountTotal : 
VID : $01088d42 : 17337666 : RC2PSSource6UseCountTotal : 
VID : $01088d43 : 17337667 : RC3PSSource6UseCountTotal : 
VID : $01088d52 : 17337682 : RC2PSSource7UseCountTotal : 
VID : $01088d53 : 17337683 : RC3PSSource7UseCountTotal : 
VID : $01088d62 : 17337698 : RC2PSSource8UseCountTotal : 
VID : $01088d63 : 17337699 : RC3PSSource8UseCountTotal : 
VID : $01088d72 : 17337714 : RC2PSSource9UseCountTotal : 
VID : $01088d73 : 17337715 : RC3PSSource9UseCountTotal : 
VID : $02000010 : 33554448 : ControlState : 
VID : $02050030 : 33882160 : Clock : 
VID : $02050030 : 33882160 : Clock : 
VID : $02050030 : 33882160 : Clock : 
VID : $02050030 : 33882160 : Clock : 
VID : $02050030 : 33882160 : Clock : 
VID : $02050030 : 33882160 : Clock : 
VID : $02050030 : 33882160 : Clock : 
VID : $02050030 : 33882160 : Clock : 
VID : $02050030 : 33882160 : Clock : 
VID : $02050030 : 33882160 : Clock : 
VID : $02050030 : 33882160 : Clock : 
VID : $02050030 : 33882160 : Clock : 
VID : $02050030 : 33882160 : Clock : 
VID : $02050030 : 33882160 : Clock : 
VID : $02050030 : 33882160 : Clock : 
VID : $02050030 : 33882160 : Clock : 
VID : $02050030 : 33882160 : Clock : 
VID : $02050030 : 33882160 : Clock : 
VID : $02050030 : 33882160 : Clock : 
VID : $02050030 : 33882160 : Clock : 
VID : $02050030 : 33882160 : Clock : 
VID : $02050030 : 33882160 : Clock : 
VID : $02050030 : 33882160 : Clock : 
VID : $02050030 : 33882160 : Clock : 
VID : $02050030 : 33882160 : Clock : 
VID : $02050030 : 33882160 : Clock : 
VID : $02050030 : 33882160 : Clock : 
VID : $02050030 : 33882160 : Clock : 
VID : $02050110 : 33882384 : ProcessState : 
VID : $02050120 : 33882400 : PreviousProcessState : 
VID : $02050120 : 33882400 : PreviousProcessState : 
VID : $02050292 : 33882770 : RC2State : 
VID : $02050293 : 33882771 : RC3State : 
VID : $020502a2 : 33882786 : PreviousRC2State : 
VID : $020502a3 : 33882787 : PreviousRC3State : 
VID : $020502c2 : 33882818 : RC2ProRcpName : 
