///////////////////////////////////////////////////////////////
// Scripted by THINH NGUYEN
// File: VIDsOnlyFromDBInfo.txt
// Version: 1.0
// Date: Wed Jun 10 19:49:56 2020
//
// This file is to configure all VIDs. WARNING!!!
// DO NOT_EDIT without reading first.
// All comments should follow the format being used and seen.
// The last line should be an empty line.
//
VID : $01000010 : 16777232 : EstablishCommunicationTimeout : 
VID : $01000020 : 16777248 : InitCommState : 
VID : $01000030 : 16777264 : PollDelay : 
VID : $01000040 : 16777280 : InitControlState : 
VID : $01000050 : 16777296 : InitControlOfflineSubState : 
VID : $01000060 : 16777312 : ControlOnlineFailedState : 
VID : $01000070 : 16777328 : InitControlOnlineSubState : 
VID : $02000000 : 33554432 : EquipmentType : 
VID : $02000001 : 33554433 : RC1_ProcessModuleType : 
VID : $02000002 : 33554434 : RC2_ProcessModuleType : 
VID : $02000003 : 33554435 : RC3_ProcessModuleType : 
VID : $02000004 : 33554436 : RC4_ProcessModuleType : 
VID : $02000010 : 33554448 : ControlState : 
VID : $02000020 : 33554464 : PreviousControlState : 
VID : $02000101 : 33554689 : RCXPresenceState : 
VID : $02000111 : 33554705 : LPXPresenceState : 
VID : $02000121 : 33554721 : CSTGPresenceState : 
VID : $01010010 : 16842768 : LimitsDelay : 
VID : $02010010 : 33619984 : LimitsEnabled : 
VID : $02010021 : 33620001 : RCXLimitMaxMinAIX : 
VID : $02010421 : 33621025 : RCXLimitMaxMinTIX : 
VID : $02010621 : 33621537 : RCXLimitMaxMinDIX : 
VID : $02010D00 : 33623296 : WLLimitMaxMinAIX : 
VID : $02010D40 : 33623360 : WLLimitMaxMinDIX : 
VID : $02010E00 : 33623552 : WLLimitMaxMinAIX : 
VID : $02010F00 : 33623808 : WLLimitMaxMinSAIX : 
VID : $02011100 : 33624320 : WLLimitMaxMinDIX : 
VID : $05010010 : 83951632 : EventLimit : 
VID : $05010020 : 83951648 : LimitsVariable : 
VID : $05010030 : 83951664 : TransitionType : 
VID : $02020010 : 33685520 : SMP0 : 
VID : $02020020 : 33685536 : SMP1 : 
VID : $02020040 : 33685568 : SMP2 : 
VID : $02020070 : 33685616 : SMP3 : 
VID : $02020050 : 33685584 : TOTSMP0 : 
