//
//	Scripted by THINH NGUYEN
//  File: Ceids.txt
//	Version: 1.0
//	Date: Sat Mar 17 01:52:46 2018
//
// This file is to configure all CEIDs. WARNING!!! DO NOT_EDIT without reading first.
// All comments should follow the format being used and seen.
// The last line should be an empty line.
//
// This is a typical way to express an CEID.
//   ceid		is id of the ceid
//   name		is name of the ceid
//
// ceid		name
//
400000001 AlarmDetected
400000002 AlarmCleared
400000004 ProcessingStateChanged
400000005 EqConstChanged
400000006 GemBadDownloadEvent
400000007 GemPPChangeEvent
400000009 GemMaterialReceived
400000010 GemMaterialRemoved
400000011 TerminalServiceRecognize
400000012 GemSpoolingActivated
400000013 GemSpoolingDeactivated
400000014 GemSpoolTransmitFailure
400000015 GemControlStateLOCAL
400000016 GemControlStateREMOTE
400000017 EquipmentOFF-LINE
400000019 CarrierLocationChange
400000020 IDNotReadToWaitingForHost
400000023 NoStateToIDVerificationOK
400000026 SlotMapNotReadToWaitingForHost
400000027 CarrierAccessedToCarrierComplete
400000028 PRJobProcessing
400000029 PRJobProcessingComplete
400000030 NoStateToIDVerificationFailed
400000031 WaitingForHostToIDVerificationOK
400000032 WaitingForHostToIDVerificationFailed
400000033 WaitingForHostToSlotMapVerificationOK
400000034 WaitingForHostToSlotMapVerificationFailed
400000039 SubstrateTransportAtSourceToAtWork
400000040 SubstrateTransportAtWorkToAtDestination
400000041 SubstrateTransportAtWorkToAtWork
400000042 SlotMapNotReadToSlotMapVerificationOK
400000043 SubstrateNeedsProcessingToInProcess
400000044 SubstrateInProcessToProcessed
400000045 CarrierCreated
400000046 CarrierDeleted
400000047 CarrierToIDNotRead
400000048 IDNotReadToIDVerificationOK
400000050 CarrierAccessedToCarrierStopped
400000051 SubstrateTransportNoStateToAtSource
400000052 SubstrateTransportAtWorkToAtSource
400000053 SubstrateTransportAtDestinationToAtWork
400000054 SubstrateTransportAtDestionationToAtSource
400000056 SubstrateObjectDeleted
400000058 SubstrateInProcessToAborted
400000070 CJobNoStateToQueued
400000071 CJobQueuedToNoState
400000072 CJobQueuedToSelected
400000073 CJobSelectedToQueued
400000074 CJobSelectedToWaitingForStart
400000075 CJobSelectedToExecuting
400000076 CJobWaitingForStartToExecuting
400000077 CJobExecutingToPaused
400000078 CJobPausedToExecuting
400000079 CJobExecutingToCompleted
400000080 CJobStoppedActiveToCompleted
400000081 CJobCompletedToNoState
400000082 CJobAbortedActiveToCompleted
400000090 CarrierNotAccessedToCarrierAccessed
400000091 CarrierNoStateToCarrierNotAccessed
400000100 PJNoStateToPJPooled
400000101 PJPooledToPJSettingUp
400000102 PJSettingUpToPJProcessing
400000103 PJProcessingToPJComplete
400000104 PJExecutingToPJPausing
400000105 PJExecutingToPJStopping
400000106 PJExecutingToPJAborting
400000107 PJPauseToPJProcessing
400000108 PJPausingToPJPaused
400000109 PJPauseToPJAborting
400000110 PJPauseToPJStopping
400000111 PJStoppingToPJAborting
400000112 PRJobSetup
400000113 SubstrateNoStateToNeedsProcessing
400000121 PJCompleteToPJNoState
400000125 IDReaderAvailable
400000126 IDReaderUnavailable
400000127 IDReaderReadFailed
400000128 NoStateToWaitingForHost
400000129 PJAbortingToPJNoState
400000130 PJStoppingToPJNoState
