VID (dec),Name,Remarks  
33554448,ControlState,"Contains the code identifies the current state of the equipment.  When reported related to a control state transition, its value should represent the state current after the transition."
,,1=OFFLINE/Equipment OFFLINE
,,2=OFFLINE/Attempt ON-LINE
,,3=OFFLINE/HOST OFFLINE
,,4=ON-LINE/LOCAL
,,5=ON-LINE/REMOTE
33554464,PreviousControlState,"Contains the code describing previous control state of the equipment, before the most recent control state change."
,,1=OFFLINE/Equipment OFFLINE
,,2=OFFLINE/Attempt ON-LINE
,,3=OFFLINE/HOST OFFLINE
,,4=ON-LINE/LOCAL
,,5=ON-LINE/REMOTE
33554688+x,RCxPresenceState,"RCx, x= 1-5"
,, 1 = Present
,, 0 = Not Present
33554704+x,LPxPresenceState,"LPx, x= 1-4"
,, 1 = Present
,, 0 = Not Present
33554721,CSTGPresenceState,Cooling Unit
,, 0 = Not in use
,, 1 = In use
33619984,LimitsEnabled,VID of the object to be limit-monitored.  
33685520,SMPn,The current sampling count based on the trace n.
+16 x p,,"xx=01h-04h, p=0-3"
,,n=1-4
33685584,TOTSMPn,"The total sampling count from the start to the end, based on the trace n."
+16 x p,,"xx=05h-08h, p=0-3"
,,"n=1-4 (Trace: 1-4, to TOTSMP1-4. xx=05h;TOTSMP1)"
33685648,TracesEnablen,VID being applied trace n.
+16 x p,,"xx=09h-0Ch, p=0-3"
,,"n=1-4 (Trace: 1-4, for TraceVID 1-4. xx=09h:TracesEnable1)"
33685712,TRIDn,ID of the old trace n.
+16 x p,,"xx=0Dh-10h, p=0-3"
,,"n=1-4 (Trace: 1-4, for TRID1-4. xx=0Dh;TRID1)"
33751056,SpoolCountActual,Count of the messages actually contained in the equipment’s spool area.
33751072,SpoolCountTotal,Count of the total number of primary messages directed to the spool.  
33751088,SpoolEnabled,The current state indicating whether the spool has been performed or not.
,,0= disabled
,,1= enabled
33751104,SpoolStartTime,The timestamp from the time spooling last became active.
,,Format: YYYYMMDDhhmmsscc
,,cc=1/100 second
33751120,SpoolFullTime,The timestamp from the time the spool last became full.
,,Format: YYYYMMDDhhmmsscc
,,cc=1/100 second
33751136,SpoolState,The current spooling state.
,,1=SPOOL ACTIVE
,,2=SPOOL INACTIVE
,,Valid only upon SpoolEnabled=1.
33751152,SpoolUnloadSubstate,The current spool-unloading state.
,,3=PURGE SPOOL
,,4=TRANSMIT SPOOL
,,5=NO SPOOL OUTPUT
,,Valid only upon SpoolState=1.
33751168,SpoolLoadSubstate,The current state of spool load.
,,6=SPOOL NOT FULL
,,7=SPOOL FULL
,,Valid only upon SpoolState=1.
33816592,AlarmsEnabled,Contains the list of alarms (ALIDs) enabled for reporting (via Stream 5).
33816608,AlarmsSet,"Content of this variable is a list of alarms (ALIDs) currently in the UNSAFE (alarm set) state, regardless whether the alarms are enabled for reporting."
33882144,EventsEnabled,Contains the event list (CEID) valid for reporting (via Stream 6).
33882160,Clock,The current value of the equipment’s internal clock.
,,Format: YYYYMMDDhhmmsscc
,,cc=1/100 second
