VID (dec)	Class	Name	Remarks  
16777232	ECV	EstablishCommunicationTimeout	The length of time of the interval between attempts to send a message when establishing communications.  0 represents that no message to establish communication has been sent.
16777248	ECV	InitCommState	"Communication state, after the equipment is initialized.  "
			0=DISABLED
			1=ENABLED
16777264	ECV	PollDelay	The length of time of the interval between attempts at polling on-line.
			0 represents that no heartbeat has been sent.  
16777280	ECV	InitControlState	Initial control state.
			0=OFFLINE
			1=ON-LINE
16777296	ECV	InitControlOfflineSubState	Initial control in off-line state.
			0=Equipment OFF-LINE
			1=HOST OFF-LINE
16777312	ECV	ControlOnlineFailedState	The state in which transition to on-line is failed.
			0=Equipment OFF-LINE
			1=HOST OFF-LINE
16777328	ECV	InitControlOnlineSubState	Initial control in on-line state.
			0=LOCAL
			1=REMOTE
16842768	ECV	LimitsDelay	The length of the time of the interval between attempts at limit monitoring.
16973840	ECV	EnabledSpooling	Enable/disable the spooling capability.
			TRUE=Used
			FALSE=Unused
16973872	ECV	MaxSpoolTransmit	Maximum count of the spool messages sent based on the host-initiated request.
			0 represents that all spool messages have been sent.  
16973888	ECV	OverWriteSpool	Action to be taken when the spool area becomes full.
			TRUE=overwrite the data
			FALSE=remove the data
17104912	ECV	MDLN	Name of the equipment
			
17104928	ECV	SOFTREV	Revision of the equipment’s
			
17104944	ECV	TimeFormat	Selection of the format of STIME and TIME data
			0=12bytes format
			1=16bytes format
17104960	ECV	PortUsageN	The type of port N.
+n			1=INPUT
			2=OUTPUT
			3=INPUT/OUTPUT
			(n=1-4 N=1-4)
17104976	ECV	ControlModeSetting	Enable/disable changing the control mode on the operation screen.
			TRUE=changeable
			FALSE=unchangeable
17105168	ECV	S6F1WBitEnable	The wait bit of S6F1 message.
			TRUE=ON
			FALSE=OFF
17105184	ECV	S6F11WBitEnable	The wait bit of S6F11 message.
			TRUE=ON
			FALSE=OFF
17105200	ECV	S5F1WBitEnable	The wait bit of S5F1 message.
			TRUE=ON
			FALSE=OFF
17105408	ECV	RCnDepoCountPName	Deposition count P name of reactor n.
+16 x p			xx=20h-33h
+n			"p=0-19, P=1-20 (for Count1-20)"
			(n=1-4)
17105728	ECV	RCnEtchCountPName	Etching count P name of reactor n.
+16 x p			xx=34h-47h
+n			"p=0-19, P=1-20 (for Count1-20)"
			(n=1-4)
17106048	ECV	LLnWaferCountPName	Transferred wafer count P name of load lock n.
+16 x p			xx=48h-5Bh
+n			"p=0-19, P=1-20 (for Count1-20)"
			(n=1-2)
17106368	ECV	WHCWaferCountPName	Transferred wafer count P name of WHC
+16 x p			xx=5Ch-6Fh
			"p=0-19, P=1-20 ?for Count1-20?"
17106192	ECV	DepositionStepProgressTime	Setting to detect later ‘n’ second after Deposition step is begun.
